enzyme_id,enzyme_name,enzyme_score,score_std,degree,score_MEAN_importance,score_MAX_importance,supporting_metabolites,selection_frequency
ec:2.3.1.187,acetyl-S-ACP:malonate ACP transferase,1.211289409840676e-06,8.387865797101186e-07,1,1.211289409840676e-06,1.211289409840676e-06,malonate,6
ec:2.8.3.3,malonate CoA-transferase,1.211289409840676e-06,8.387865797101186e-07,1,1.211289409840676e-06,1.211289409840676e-06,malonate,6
ec:6.2.1.76,malonate---CoA ligase,1.211289409840676e-06,8.387865797101186e-07,1,1.211289409840676e-06,1.211289409840676e-06,malonate,6
ec:2.1.1.123,[cytochrome-c]-methionine S-methyltransferase,1.202043549976941e-06,8.649616290011212e-07,1,1.202043549976941e-06,1.202043549976941e-06,S-methylmethionine,6
ec:2.1.1.44,L-histidine Nalpha-methyltransferase,1.197045261013151e-06,8.599942741623718e-07,1,1.197045261013151e-06,1.197045261013151e-06,imidazole propionate,6
ec:4.3.1.3,histidine ammonia-lyase,1.197045261013151e-06,8.599942741623718e-07,1,1.197045261013151e-06,1.197045261013151e-06,imidazole propionate,6
ec:2.3.1.33,histidine N-acetyltransferase,1.197045261013151e-06,8.599942741623718e-07,1,1.197045261013151e-06,1.197045261013151e-06,imidazole propionate,6
ec:6.1.1.21,histidine---tRNA ligase,1.197045261013151e-06,8.599942741623718e-07,1,1.197045261013151e-06,1.197045261013151e-06,imidazole propionate,6
ec:1.1.1.23,histidinol dehydrogenase,1.197045261013151e-06,8.599942741623718e-07,1,1.197045261013151e-06,1.197045261013151e-06,imidazole propionate,6
ec:4.1.1.22,histidine decarboxylase,1.197045261013151e-06,8.599942741623718e-07,1,1.197045261013151e-06,1.197045261013151e-06,imidazole propionate,6
ec:1.14.99.52,L-cysteinyl-L-histidinylsulfoxide synthase,1.197045261013151e-06,8.599942741623718e-07,1,1.197045261013151e-06,1.197045261013151e-06,imidazole propionate,6
ec:2.6.1.38,histidine transaminase,1.197045261013151e-06,8.599942741623718e-07,1,1.197045261013151e-06,1.197045261013151e-06,imidazole propionate,6
ec:3.4.13.18,cytosol nonspecific dipeptidase,1.197045261013151e-06,8.599942741623718e-07,1,1.197045261013151e-06,1.197045261013151e-06,imidazole propionate,6
ec:5.1.1.24,histidine racemase,1.197045261013151e-06,8.599942741623718e-07,1,1.197045261013151e-06,1.197045261013151e-06,imidazole propionate,6
ec:1.1.1.66,omega-hydroxydecanoate dehydrogenase,1.189887093432353e-06,8.224073233070708e-07,1,1.189887093432353e-06,1.189887093432353e-06,2-hydroxydecanoate,6
ec:1.2.1.88,L-glutamate gamma-semialdehyde dehydrogenase,1.186614882934742e-06,8.6829187551509e-07,1,1.186614882934742e-06,1.186614882934742e-06,4-hydroxyglutamate,6
ec:6.4.1.10,atromentin synthase,1.1597149218969506e-06,7.772187021473003e-07,1,1.1597149218969506e-06,1.1597149218969506e-06,4-hydroxyphenylpyruvate,6
ec:1.4.1.20,phenylalanine dehydrogenase,1.1597149218969506e-06,7.772187021473003e-07,1,1.1597149218969506e-06,1.1597149218969506e-06,4-hydroxyphenylpyruvate,6
ec:1.1.1.110,aromatic 2-oxoacid reductase,1.1597149218969506e-06,7.772187021473003e-07,1,1.1597149218969506e-06,1.1597149218969506e-06,4-hydroxyphenylpyruvate,6
ec:5.3.2.1,phenylpyruvate tautomerase,1.1597149218969506e-06,7.772187021473003e-07,1,1.1597149218969506e-06,1.1597149218969506e-06,4-hydroxyphenylpyruvate,6
ec:4.1.1.80,4-hydroxyphenylpyruvate decarboxylase,1.1597149218969506e-06,7.772187021473003e-07,1,1.1597149218969506e-06,1.1597149218969506e-06,4-hydroxyphenylpyruvate,6
ec:1.13.11.27,4-hydroxyphenylpyruvate dioxygenase,1.1597149218969506e-06,7.772187021473003e-07,1,1.1597149218969506e-06,1.1597149218969506e-06,4-hydroxyphenylpyruvate,6
ec:2.5.1.111,4-hydroxyphenylpyruvate 3-dimethylallyltransferase,1.1597149218969506e-06,7.772187021473003e-07,1,1.1597149218969506e-06,1.1597149218969506e-06,4-hydroxyphenylpyruvate,6
ec:1.3.1.13,prephenate dehydrogenase (NADP+),1.1597149218969506e-06,7.772187021473003e-07,1,1.1597149218969506e-06,1.1597149218969506e-06,4-hydroxyphenylpyruvate,6
ec:1.13.11.46,4-hydroxymandelate synthase,1.1597149218969506e-06,7.772187021473003e-07,1,1.1597149218969506e-06,1.1597149218969506e-06,4-hydroxyphenylpyruvate,6
ec:2.6.1.58,phenylalanine(histidine) transaminase,1.1597149218969506e-06,7.772187021473003e-07,1,1.1597149218969506e-06,1.1597149218969506e-06,4-hydroxyphenylpyruvate,6
ec:1.3.1.12,prephenate dehydrogenase,1.1597149218969506e-06,7.772187021473003e-07,1,1.1597149218969506e-06,1.1597149218969506e-06,4-hydroxyphenylpyruvate,6
ec:1.1.1.237,hydroxyphenylpyruvate reductase,1.1597149218969506e-06,7.772187021473003e-07,1,1.1597149218969506e-06,1.1597149218969506e-06,4-hydroxyphenylpyruvate,6
ec:1.2.3.13,4-hydroxyphenylpyruvate oxidase,1.1597149218969506e-06,7.772187021473003e-07,1,1.1597149218969506e-06,1.1597149218969506e-06,4-hydroxyphenylpyruvate,6
ec:1.1.1.31,3-hydroxyisobutyrate dehydrogenase,1.1582925983201334e-06,9.13377765653274e-07,1,1.1582925983201334e-06,1.1582925983201334e-06,3-hydroxyisobutyrate,6
ec:3.1.2.4,3-hydroxyisobutyryl-CoA hydrolase,1.1582925983201334e-06,9.13377765653274e-07,1,1.1582925983201334e-06,1.1582925983201334e-06,3-hydroxyisobutyrate,6
ec:3.4.13.5,Xaa-methyl-His dipeptidase,1.1535413822174846e-06,7.83206638458947e-07,1,1.1535413822174846e-06,1.1535413822174846e-06,3-methylhistidine,6
ec:3.1.1.23,acylglycerol lipase,1.1530938283634253e-06,8.629345315616775e-07,1,1.1530938283634253e-06,1.1530938283634253e-06,glycerol,6
ec:1.1.1.72,glycerol dehydrogenase (NADP+),1.1530938283634253e-06,8.629345315616775e-07,1,1.1530938283634253e-06,1.1530938283634253e-06,glycerol,6
ec:1.1.1.21,aldose reductase,1.1530938283634253e-06,8.629345315616775e-07,1,1.1530938283634253e-06,1.1530938283634253e-06,glycerol,6
ec:2.7.1.142,glycerol-3-phosphate---glucose phosphotransferase,1.1530938283634253e-06,8.629345315616775e-07,1,1.1530938283634253e-06,1.1530938283634253e-06,glycerol,6
ec:1.1.1.6,glycerol dehydrogenase,1.1530938283634253e-06,8.629345315616775e-07,1,1.1530938283634253e-06,1.1530938283634253e-06,glycerol,6
ec:3.1.3.21,glycerol-1-phosphatase,1.1530938283634253e-06,8.629345315616775e-07,1,1.1530938283634253e-06,1.1530938283634253e-06,glycerol,6
ec:1.1.1.2,alcohol dehydrogenase (NADP+),1.1530938283634253e-06,8.629345315616775e-07,1,1.1530938283634253e-06,1.1530938283634253e-06,glycerol,6
ec:2.7.1.30,glycerol kinase,1.1530938283634253e-06,8.629345315616775e-07,1,1.1530938283634253e-06,1.1530938283634253e-06,glycerol,6
ec:3.1.1.34,lipoprotein lipase,1.1530938283634253e-06,8.629345315616775e-07,1,1.1530938283634253e-06,1.1530938283634253e-06,glycerol,6
ec:3.1.4.38,glycerophosphocholine cholinephosphodiesterase,1.1530938283634253e-06,8.629345315616775e-07,1,1.1530938283634253e-06,1.1530938283634253e-06,glycerol,6
ec:3.2.1.22,alpha-galactosidase,1.1530938283634253e-06,8.629345315616775e-07,1,1.1530938283634253e-06,1.1530938283634253e-06,glycerol,6
ec:3.1.4.43,glycerophosphoinositol inositolphosphodiesterase,1.1530938283634253e-06,8.629345315616775e-07,1,1.1530938283634253e-06,1.1530938283634253e-06,glycerol,6
ec:1.1.99.22,glycerol dehydrogenase (acceptor),1.1530938283634253e-06,8.629345315616775e-07,1,1.1530938283634253e-06,1.1530938283634253e-06,glycerol,6
ec:4.2.1.30,glycerol dehydratase,1.1530938283634253e-06,8.629345315616775e-07,1,1.1530938283634253e-06,1.1530938283634253e-06,glycerol,6
ec:3.1.3.19,glycerol-2-phosphatase,1.1530938283634253e-06,8.629345315616775e-07,1,1.1530938283634253e-06,1.1530938283634253e-06,glycerol,6
ec:2.7.1.79,diphosphate---glycerol phosphotransferase,1.1530938283634253e-06,8.629345315616775e-07,1,1.1530938283634253e-06,1.1530938283634253e-06,glycerol,6
ec:1.1.1.156,glycerol 2-dehydrogenase (NADP+),1.1530938283634253e-06,8.629345315616775e-07,1,1.1530938283634253e-06,1.1530938283634253e-06,glycerol,6
ec:3.1.1.79,hormone-sensitive lipase,1.1530938283634253e-06,8.629345315616775e-07,1,1.1530938283634253e-06,1.1530938283634253e-06,glycerol,6
ec:1.1.1.372,D/L-glyceraldehyde reductase,1.1530938283634253e-06,8.629345315616775e-07,1,1.1530938283634253e-06,1.1530938283634253e-06,glycerol,6
ec:3.7.1.20,3-fumarylpyruvate hydrolase,1.150483710296785e-06,8.334268573274037e-07,1,1.150483710296785e-06,1.150483710296785e-06,fumarate,6
ec:4.3.2.2,adenylosuccinate lyase,1.150483710296785e-06,8.334268573274037e-07,1,1.150483710296785e-06,1.150483710296785e-06,fumarate,6
ec:3.7.1.2,fumarylacetoacetase,1.150483710296785e-06,8.334268573274037e-07,1,1.150483710296785e-06,1.150483710296785e-06,fumarate,6
ec:3.7.1.14,"2-hydroxy-6-oxonona-2,4-dienedioate hydrolase",1.150483710296785e-06,8.334268573274037e-07,1,1.150483710296785e-06,1.150483710296785e-06,fumarate,6
ec:1.3.4.1,fumarate reductase (CoM/CoB),1.150483710296785e-06,8.334268573274037e-07,1,1.150483710296785e-06,1.150483710296785e-06,fumarate,6
ec:4.2.99.12,carboxymethyloxysuccinate lyase,1.150483710296785e-06,8.334268573274037e-07,1,1.150483710296785e-06,1.150483710296785e-06,fumarate,6
ec:5.2.1.1,maleate isomerase,1.150483710296785e-06,8.334268573274037e-07,1,1.150483710296785e-06,1.150483710296785e-06,fumarate,6
ec:4.1.99.11,benzylsuccinate synthase,1.150483710296785e-06,8.334268573274037e-07,1,1.150483710296785e-06,1.150483710296785e-06,fumarate,6
ec:4.3.2.1,argininosuccinate lyase,1.150483710296785e-06,8.334268573274037e-07,1,1.150483710296785e-06,1.150483710296785e-06,fumarate,6
ec:1.3.5.1,succinate dehydrogenase,1.150483710296785e-06,8.334268573274037e-07,1,1.150483710296785e-06,1.150483710296785e-06,fumarate,6
ec:4.2.1.2,fumarate hydratase,1.150483710296785e-06,8.334268573274037e-07,1,1.150483710296785e-06,1.150483710296785e-06,fumarate,6
ec:3.7.1.5,acylpyruvate hydrolase,1.150483710296785e-06,8.334268573274037e-07,1,1.150483710296785e-06,1.150483710296785e-06,fumarate,6
ec:6.3.2.46,"fumarate---(S)-2,3-diaminopropanoate ligase",1.150483710296785e-06,8.334268573274037e-07,1,1.150483710296785e-06,1.150483710296785e-06,fumarate,6
ec:4.3.1.1,aspartate ammonia-lyase,1.150483710296785e-06,8.334268573274037e-07,1,1.150483710296785e-06,1.150483710296785e-06,fumarate,6
ec:1.3.1.6,fumarate reductase (NADH),1.150483710296785e-06,8.334268573274037e-07,1,1.150483710296785e-06,1.150483710296785e-06,fumarate,6
ec:2.1.4.1,glycine amidinotransferase,1.150117076624803e-06,8.125396932121599e-07,1,1.150117076624803e-06,1.150117076624803e-06,4-guanidinobutanoate,6
ec:3.5.3.7,guanidinobutyrase,1.150117076624803e-06,8.125396932121599e-07,1,1.150117076624803e-06,1.150117076624803e-06,4-guanidinobutanoate,6
ec:3.5.1.4,amidase,1.150117076624803e-06,8.125396932121599e-07,1,1.150117076624803e-06,1.150117076624803e-06,4-guanidinobutanoate,6
ec:1.2.1.54,gamma-guanidinobutyraldehyde dehydrogenase,1.150117076624803e-06,8.125396932121599e-07,1,1.150117076624803e-06,1.150117076624803e-06,4-guanidinobutanoate,6
ec:1.14.14.80,long-chain fatty acid omega-monooxygenase,1.1455496036246778e-06,8.429144900574407e-07,1,1.1455496036246778e-06,1.1455496036246778e-06,16-hydroxypalmitate,6
ec:2.3.1.188,omega-hydroxypalmitate O-feruloyl transferase,1.1455496036246778e-06,8.429144900574407e-07,1,1.1455496036246778e-06,1.1455496036246778e-06,16-hydroxypalmitate,6
ec:2.3.1.192,glycine N-phenylacetyltransferase,1.1303703873683162e-06,8.061557198824741e-07,1,1.1303703873683162e-06,1.1303703873683162e-06,phenylacetylglycine,6
ec:2.5.1.49,O-acetylhomoserine aminocarboxypropyltransferase,1.1289173197638047e-06,7.465994522226205e-07,1,1.1289173197638047e-06,1.1289173197638047e-06,O-acetylhomoserine,6
ec:2.3.1.31,homoserine O-acetyltransferase,1.1289173197638047e-06,7.465994522226205e-07,1,1.1289173197638047e-06,1.1289173197638047e-06,O-acetylhomoserine,6
