enzyme_id,enzyme_name,enzyme_score,score_std,supporting_metabolites,reactions,pathways,evidence_counts,selection_frequency
ec:2.6.1.42,branched-chain-amino-acid transaminase,1.9361820909712267e-05,1.3742143509236902e-05,3-methyl-2-oxobutyrate; alpha-ketobutyrate; 4-methyl-2-oxopentanoate,R10991: (S)-2-Aminobutanoate + 2-Oxoglutarate <=> 2-Oxobutanoate + L-Glutamate; R01090: L-Leucine + 2-Oxoglutarate <=> 4-Methyl-2-oxopentanoate + L-Glutamate; R01214: L-Valine + 2-Oxoglutarate <=> 3-Methyl-2-oxobutanoic acid + L-Glutamate,path:map00770; path:map01230; path:map01240,3,6
ec:2.3.1.14,glutamine N-phenylacetyltransferase,1.929793417324073e-05,1.1791423270399242e-05,N-acetylglutamine; phenylacetylglutamate; N-acetylglutamate; phenylacetylglutamine,R04776: L-Glutamate + 4-Hydroxyphenylacetyl-CoA <=> CoA + 4-Hydroxyphenylacetylglutamic acid; R02576: Phenylacetyl-CoA + L-Glutamine <=> CoA + Phenylacetylglutamine,path:map00360; path:map00350,4,6
ec:4.1.2.48,low-specificity L-threonine aldolase,1.910941009226588e-05,1.1170102414868984e-05,glycine; allo-threonine; threonine,R00751: L-Threonine <=> Glycine + Acetaldehyde; R06171: L-Allothreonine <=> Glycine + Acetaldehyde,path:map02010; path:map00630; path:map01200,3,6
ec:2.1.1.162,glycine/sarcosine/dimethylglycine N-methyltransferase,1.900787700714928e-05,1.1263379236668245e-05,glycine; dimethylglycine; sarcosine; betaine,"R07243: S-Adenosyl-L-methionine + Sarcosine <=> S-Adenosyl-L-homocysteine + N,N-Dimethylglycine; R07244: S-Adenosyl-L-methionine + N,N-Dimethylglycine <=> S-Adenosyl-L-homocysteine + Betaine; R00367: S-Adenosyl-L-methionine + Glycine <=> S-Adenosyl-L-homocysteine + Sarcosine",path:map02010; path:map00630; path:map01200,4,6
ec:4.3.1.19,threonine ammonia-lyase,1.833450737742042e-05,1.2165265332154886e-05,alpha-ketobutyrate; serine; threonine,R00220: L-Serine <=> Pyruvate + Ammonia; R00996: L-Threonine <=> 2-Oxobutanoate + Ammonia,path:map02010; path:map00630; path:map01200,3,6
ec:1.2.1.5,aldehyde dehydrogenase [NAD(P)+],1.8056587277718123e-05,1.1379982652762722e-05,phenylacetate; beta-alanine; 1-methyl-4-imidazoleacetate; 4-hydroxyphenylacetate,R00904: 3-Aminopropanal + NAD+ + H2O <=> beta-Alanine + NADH + H+; R02697: 4-Hydroxyphenylacetaldehyde + NADP+ + H2O <=> 4-Hydroxyphenylacetate + NADPH + H+; R02695: 4-Hydroxyphenylacetaldehyde + NAD+ + H2O <=> 4-Hydroxyphenylacetate + NADH + H+,path:map00770; path:map00360; path:map01120,4,6
ec:3.1.4.3,phospholipase C,1.784025527969431e-05,1.2272472128529328e-05,phosphoethanolamine; choline phosphate; glycerol 3-phosphate,"R01312: Phosphatidylcholine + H2O <=> 1,2-Diacyl-sn-glycerol + Choline phosphate; R02027: Phosphatidylglycerol + H2O <=> 1,2-Diacyl-sn-glycerol + sn-Glycerol 3-phosphate; R07381: O-1-Alk-1-enyl-2-acyl-sn-glycero-3-phosphoethanolamine + H2O <=> 1-Alkenyl-2-acylglycerol + Ethanolamine phosphate",path:map02010; path:map05231; path:map00552,3,6
ec:3.2.1.22,alpha-galactosidase,1.7744076431860998e-05,1.0430435699153526e-05,sucrose; myo-inositol; mannose; glycerol,R06142: Epimelibiose + H2O <=> D-Mannose + D-Galactose; R06093: Galactinol + H2O <=> myo-Inositol + D-Galactose; R01329: Epimelibiose + H2O <=> D-Mannose + D-Galactose,path:map02010; path:map00040; path:map00521,4,6
ec:1.14.14.80,long-chain fatty acid omega-monooxygenase,1.7522265515641635e-05,1.122641405632381e-05,2-hydroxypalmitate; 16-hydroxypalmitate; 2-hydroxyoleate,R09451: Hexadecanoic acid + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 16-Hydroxypalmitate + [Oxidized NADPH---hemoprotein reductase] + H2O; R09452: (9Z)-Octadecenoic acid + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 18-Hydroxyoleate + [Oxidized NADPH---hemoprotein reductase] + H2O,path:map01100; path:map00073,3,6
ec:3.5.4.5,cytidine deaminase,1.7471280110563216e-05,1.1940722384177168e-05,2'-deoxyuridine; cytidine; uridine,R02485: Deoxycytidine + H2O <=> Deoxyuridine + Ammonia; R01878: Cytidine + H2O <=> Uridine + Ammonia,path:map00240; path:map02010; path:map01232,3,6
