metabolite,sparse_score
N-formylmethionine,0.001021396079237704
S-carboxyethylcysteine,0.0010212981920105363
adrenate (22:4n6),0.0010209372233093471
"bilirubin degradation product, C16H18N2O5 (2)**",0.001020720428146038
1-myristoylglycerol (14:0),0.001020638264001673
suberate (C8-DC),0.0010205576959369878
tetrahydrocortisone glucuronide (5),0.0010205070458765124
L-urobilin,0.0010203284887072331
eicosanedioate (C20-DC),0.0010202934428725629
N-acetylhistidine,0.0010199392320406557
N-stearoyl-sphingosine (d18:1/18:0)*,0.001019708649465645
"N6,N6,N6-trimethyllysine",0.0010195627609910875
eicosenedioate (C20:1-DC)*,0.0010195539655732779
1-palmitoyl-2-oleoyl-GPE (16:0/18:1),0.001018973909466686
"N,N-dimethyl-pro-pro",0.0010186939333194586
1-dihomo-linolenylglycerol (20:3),0.0010186892299782746
N1-methyl-4-pyridone-3-carboxamide,0.0010185595739736514
oleoyl-arachidonoyl-glycerol (18:1/20:4) [1]*,0.0010183269708296846
mannose,0.0010179878208773088
chiro-inositol,0.0010179049605705303
phenylacetylglutamine,0.0010178146292524849
1-methyl-5-imidazoleacetate,0.0010176557004673522
5-hydroxymethyl-2-furoic acid,0.0010176048975907373
1-stearyl-2-docosapentaenoyl-GPC (O-18:0/22:5n3)*,0.0010175690706957982
gamma-glutamylhistidine,0.0010170734030573807
5-hydroxydecanoate,0.0010169370401221884
"2R,3R-dihydroxybutyrate",0.001016880362313986
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),0.001016871397100466
N-acetylaspartate (NAA),0.001016611626642801
"N2,N2-dimethylguanosine",0.0010164080076266355
eicosenoylcarnitine (C20:1)*,0.0010161708879167662
2-O-methylascorbic acid,0.0010161584588707494
1-stearoyl-2-adrenoyl-GPE (18:0/22:4)*,0.0010160702330195156
arabitol/xylitol,0.001015895394376299
cis-4-decenoate (10:1n6)*,0.0010156197819788338
"bilirubin degradation product, C16H18N2O5 (1)**",0.0010153764052970287
p-cresol glucuronide*,0.0010153457317019067
azelate (C9-DC),0.0010144792302315129
1-linoleoyl-GPA (18:2)*,0.001014298228004001
5-dodecenoate (12:1n7),0.001014288006302222
lyxonate,0.0010142281023755183
lithocholic acid sulfate (2),0.0010140683415914037
palmitoleoyl-linoleoyl-glycerol (16:1/18:2) [1]*,0.0010136222033617717
15-HETE,0.0010135280940891651
N6-methyladenosine,0.0010133746072565576
cis-4-decenoylcarnitine (C10:1),0.001013344128926503
pentadecanoate (15:0),0.0010131619041698742
N-acetyltyrosine,0.0010130843924279801
N6-carboxymethyllysine,0.0010129890351569006
ascorbic acid 2-sulfate,0.001012917483244449
oleoyl-linoleoyl-glycerol (18:1/18:2) [1],0.0010128689895894981
hyocholate (gamma-muricholate),0.0010128663747355547
1-margaroyl-GPE (17:0)*,0.001012699940980013
1-(1-enyl-stearoyl)-2-docosapentaenoyl-GPE (P-18:0/22:5n3)*,0.0010125682983655759
1-palmitoleoylglycerol (16:1)*,0.0010125329808577687
phenylacetylglutamate,0.001012399827061507
catechol glucuronide,0.0010123134010448056
3-aminoisobutyrate,0.0010122709181580106
2-oleoylglycerol (18:1),0.001012054547483978
N-acetylglycine,0.00101196097306786
1-stearoyl-2-docosapentaenoyl-GPC (18:0/22:5n3)*,0.0010119480176551403
arachidonoylcarnitine (C20:4),0.0010118668043667548
gamma-glutamylglycine,0.001011822470706714
N-acetylproline,0.0010117085038257514
N1-methylinosine,0.0010115761141101876
2-aminoheptanoate,0.0010115760801510452
hypoxanthine,0.0010114094256610802
myo-inositol,0.0010112629768606774
4-oxo-retinoic acid,0.0010112062481137621
4-hydroxyphenylacetate,0.0010111901345008251
N-acetylserine,0.0010107170496919187
alpha-CEHC sulfate,0.0010106859431177346
3-hydroxystearate,0.0010103900571124228
1-(1-enyl-stearoyl)-GPC (P-18:0)*,0.0010102733565205194
urea,0.0010101144447149577
3-amino-2-piperidone,0.001009939673990025
oleoyl-linoleoyl-glycerol (18:1/18:2) [2],0.0010096412750081963
hexanoylglycine,0.0010095696381978892
indoleacetoylcarnitine*,0.0010092385026030542
glycohyocholate,0.0010091167760581169
N-acetylthreonine,0.0010090751081907328
5-methylthioribose**,0.0010090126403487984
1-behenoyl-GPC (22:0),0.0010088224861324845
alanine,0.001008819565646262
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),0.0010088184110354297
"sphingomyelin (d18:1/20:2, d18:2/20:1, d16:1/22:2)*",0.0010088141831222355
malate,0.0010088062366829789
dihomo-linolenoylcarnitine (C20:3n3 or 6)*,0.0010083888278875823
1-arachidoyl-GPC (20:0),0.001008274928924904
methionine sulfone,0.0010080729059884182
"sphingomyelin (d18:2/16:0, d18:1/16:1)*",0.0010078591501683292
indolebutyrate,0.0010077007817090417
nonanoylcarnitine (C9),0.0010074142344678133
3-methyladipate,0.001007399699954985
"5alpha-pregnan-3beta,20alpha-diol disulfate",0.0010071352601152784
1-stearoyl-2-dihomo-linolenoyl-GPE (18:0/20:3n3 or 6)*,0.0010070859174817746
glycerol 3-phosphate,0.0010070254532292258
myristoyl-linoleoyl-glycerol (14:0/18:2) [1]*,0.0010069462944689385
quinolinate,0.0010069074961490637
N-acetylphenylalanine,0.0010068854906249685
myristate (14:0),0.0010068700392153029
"androstenediol (3alpha, 17alpha) monosulfate (2)",0.0010067858714815526
linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*,0.0010066612584095347
palmitoylcholine,0.001006613630712708
10-heptadecenoate (17:1n7),0.0010063424499832901
isoursodeoxycholate,0.0010062071397815037
1-nonadecenoyl-GPC (19:1)*,0.001005798916934051
4-hydroxyphenylacetoylcarnitine,0.0010057840598093725
sphingomyelin (d18:2/24:2)*,0.0010057740418624465
stearoylcholine*,0.0010055614066940474
cholic acid glucuronide,0.0010054426176149035
1-linolenoylglycerol (18:3),0.0010051691276638213
