enzyme_id,sparse_score
ec:3.5.3.3,0.002236742768739237
ec:3.1.4.46,0.0022318451096496653
ec:3.1.4.2,0.0022318451096496653
ec:2.4.2.57,0.002231800286057015
ec:3.1.4.3,0.0022271905949690575
ec:1.3.98.1,0.0022241043891837848
ec:1.1.1.66,0.0022201989091685374
ec:1.4.3.4,0.0022031199316197413
ec:1.2.1.88,0.002198721036752739
ec:4.3.1.19,0.0021908271937775762
ec:1.14.14.80,0.0021860673843559744
ec:3.1.3.75,0.0021728098991163937
ec:1.13.11.27,0.0021720060850849215
ec:3.2.1.20,0.002167873353718929
ec:2.4.2.3,0.0021489603560152825
ec:3.2.2.3,0.0021474421813198557
ec:2.6.1.42,0.0021242447381501586
ec:4.1.1.28,0.002098837617198306
ec:2.4.1.276,0.0020967629787262652
ec:1.23.5.1,0.0020967629787262652
ec:1.14.15.21,0.0020967629787262652
ec:1.13.11.65,0.0020967629787262652
ec:1.13.11.84,0.0020967629787262652
ec:2.6.1.5,0.0020837904120885103
ec:2.6.1.57,0.0020837904120885103
ec:2.6.1.9,0.0020837904120885103
ec:3.5.1.135,0.001599299144269737
ec:1.14.14.139,0.001568651177540279
ec:6.2.1.7,0.001568651177540279
ec:3.1.2.27,0.001568651177540279
ec:3.5.3.14,0.001566182429987978
ec:3.5.1.3,0.001558661447203449
ec:3.5.1.111,0.001558661447203449
ec:1.14.11.48,0.0015570875951195155
ec:2.4.1.48,0.0015547400676693905
ec:3.5.2.9,0.001550119664918617
ec:1.1.1.19,0.0015487072501268635
ec:1.1.99.2,0.0015462612826246756
ec:1.14.14.16,0.0015434573207558208
ec:1.14.15.4,0.0015434573207558208
ec:6.3.2.44,0.0015429016710138965
ec:3.1.1.76,0.0015403521660519487
ec:2.1.1.376,0.0015391609490355135
ec:1.14.13.251,0.0015391609490355135
ec:2.1.1.161,0.0015391609490355135
ec:2.4.1.17,0.0015391313724418046
ec:3.1.4.44,0.0015358856352392196
ec:3.5.4.3,0.0015343176106099663
ec:2.4.2.22,0.0015343176106099663
