2026-04-16 10:38:39,470 - INFO - Device: cuda
2026-04-16 10:38:40,296 - INFO - Loaded Excel file: starting_template.csv
2026-04-16 10:38:40,296 - INFO - Raw data shape: (48, 1602)
2026-04-16 10:38:40,297 - INFO - Filtered samples: 36 (High: 26, Low: 10)
2026-04-16 10:38:40,298 - INFO - Groups found: Counter({'HZ_HL': 24, 'PHN': 12})
2026-04-16 10:38:40,299 - INFO - Excluding pain score column from features: 'Pain Score'
2026-04-16 10:38:40,467 - INFO - Identified 1592 metabolite columns
2026-04-16 10:38:40,670 - INFO - Excluded 268 xenobiotic metabolites, 1324 endogenous remaining
2026-04-16 10:38:40,670 - INFO - Excluded xenobiotics (first 10): ['gluconate', 'phytanate', 'salicylate', 'cotinine', 'caffeine', 'methyl indole-3-acetate', 'fluoxetine', '4-acetamidophenol', 'naproxen', 'ibuprofen']
2026-04-16 10:38:40,671 - INFO - Excluded 305 unidentified X- metabolites, 1019 identified endogenous remaining
2026-04-16 10:40:50,415 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:40:52,342 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:40:53,977 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:40:55,642 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:40:57,298 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:40:59,900 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:41:02,391 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:41:04,287 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:41:05,936 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:41:07,474 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:41:09,053 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:41:11,497 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:41:14,106 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:41:15,795 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:41:17,701 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:41:20,375 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:41:22,122 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:41:24,636 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:41:26,362 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:41:28,952 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:41:30,765 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:41:32,567 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:41:34,295 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:41:36,617 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:41:38,284 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:41:40,425 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:41:41,902 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:41:43,599 - INFO - perm 15/200 | auc=0.638 | elapsed=3.0m | ETA=37.6m
2026-04-16 10:41:43,606 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:41:45,847 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:41:47,441 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:41:49,078 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:41:51,197 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:41:52,719 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:41:54,574 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:41:56,895 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:41:59,511 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:42:02,214 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:42:03,895 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:42:05,605 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:42:07,368 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:42:10,143 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:42:12,467 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:42:15,307 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:42:17,659 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:42:19,536 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:42:21,312 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:42:22,938 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:42:25,583 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:42:27,361 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:42:29,874 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:42:31,542 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:42:33,493 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:42:35,643 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:42:38,271 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:42:40,179 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:42:42,857 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:42:44,750 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:42:46,540 - INFO - perm 20/200 | auc=0.679 | elapsed=4.1m | ETA=36.8m
