metabolite,mean_abs_ig
betaine,2.5686093e-09
metabolonic lactone sulfate,2.5629374e-09
phenylpyruvate,2.5616391e-09
"cys-gly, oxidized",2.561089e-09
11beta-hydroxyandrosterone glucuronide,2.5607896e-09
glycocholate,2.555564e-09
cysteine sulfinic acid,2.555546e-09
"5alpha-androstan-3beta,17beta-diol disulfate",2.5506952e-09
1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*,2.5504248e-09
"N6,N6-dimethyllysine",2.5497326e-09
pregnanediol-3-glucuronide,2.5481492e-09
"glycosyl ceramide (d18:2/24:1, d18:1/24:2)*",2.545416e-09
HWESASXX*,2.5404547e-09
1-palmityl-2-arachidonoyl-GPC (O-16:0/20:4)*,2.5374125e-09
N-acetylcitrulline,2.5354947e-09
delta-CEHC glucuronide,2.532879e-09
"bilirubin degradation product, C16H18N2O5 (2)**",2.5328308e-09
glycosyl-N-behenoyl-sphingadienine (d18:2/22:0)*,2.5292635e-09
1-methylnicotinamide,2.5254756e-09
cysteinylglycine disulfide*,2.521053e-09
isoursodeoxycholate,2.5198637e-09
valerate (5:0),2.5198261e-09
1-palmitoyl-2-linoleoyl-GPI (16:0/18:2),2.5176876e-09
dodecenedioate (C12:1-DC)*,2.5079394e-09
1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*,2.507004e-09
linoleamide (18:2n6),2.5069968e-09
"bilirubin degradation product, C16H18N2O5 (3)**",2.5068667e-09
N-methylproline,2.5052178e-09
2-stearoyl-GPE (18:0)*,2.5034037e-09
5alpha-pregnan-diol disulfate,2.5016869e-09
3beta-hydroxy-5-cholenoate,2.5001066e-09
4-hydroxyphenylpyruvate,2.4999527e-09
"N2-acetyl,N6-methyllysine",2.498749e-09
"sphingomyelin (d17:1/16:0, d18:1/15:0, d16:1/17:0)*",2.4974587e-09
"bilirubin (Z,Z)",2.4918385e-09
N-acetyl-beta-alanine,2.4875335e-09
phenylalanine,2.4856677e-09
lignoceroyl sphingomyelin (d18:1/24:0),2.4830231e-09
1-arachidonoyl-GPI (20:4)*,2.4809148e-09
stearoyl sphingomyelin (d18:1/18:0),2.4802287e-09
N-lactoyl isoleucine,2.4782918e-09
glycosyl-N-behenoyl-sphingosine (d18:1/22:0)*,2.4763809e-09
palmitoyl sphingomyelin (d18:1/16:0),2.476229e-09
