enzyme_id,enzyme_name,reaction_id,equation
ec:1.14.13.35,anthranilate 3-monooxygenase (deaminating),R00980,
ec:2.1.1.111,anthranilate N-methyltransferase,R00984,
ec:2.3.1.144,anthranilate N-benzoyltransferase,R02453,
ec:2.3.1.113,anthranilate N-malonyltransferase,R00989,
ec:1.14.14.8,anthranilate 3-monooxygenase (FAD),R09517,
ec:2.4.2.18,anthranilate phosphoribosyltransferase,R01073,
ec:4.3.2.6,gamma-L-glutamyl-butirosin B gamma-glutamyl cyclotransferase,R08910,
ec:4.3.2.8,gamma-glutamylamine cyclotransferase,R11862,
ec:4.3.2.7,glutathione-specific gamma-glutamylcyclotransferase,R11861,
ec:1.13.12.3,tryptophan 2-monooxygenase,R00679,
ec:3.5.1.57,tryptophanamidase,R00682,
ec:1.3.3.10,"tryptophan alpha,beta-oxidase",R05317,
ec:1.13.11.11,"tryptophan 2,3-dioxygenase",R00678,
ec:6.1.1.2,tryptophan---tRNA ligase,R03664,
ec:1.13.99.3,tryptophan 2'-dioxygenase,R00681,
ec:3.1.4.12,sphingomyelin phosphodiesterase,R02541,
ec:2.3.3.13,2-isopropylmalate synthase,R01213,
ec:1.4.1.23,valine dehydrogenase (NAD+),R01434,
ec:2.6.1.32,valine---3-methyl-2-oxovalerate transaminase,R02200,
ec:1.1.1.84,dimethylmalate dehydrogenase,R01211,
ec:4.1.2.12,2-dehydropantoate aldolase,R01216,
ec:2.6.1.66,valine---pyruvate transaminase,R01215,
ec:1.14.14.186,tryptamine 5-hydroxylase,R12659,
ec:2.4.2.16,urate-ribonucleoside phosphorylase,R02646,
ec:3.5.4.32,8-oxoguanine deaminase,R09876,
ec:1.14.13.113,FAD-dependent urate hydroxylase,R09514,
ec:3.1.1.52,phosphatidylinositol deacylase,R03360,
ec:1.1.2.4,D-lactate dehydrogenase (cytochrome),R00197,
ec:3.1.3.60,phosphoenolpyruvate phosphatase,R00208,
ec:1.2.3.3,pyruvate oxidase,R00207,
ec:2.7.9.1,"pyruvate, phosphate dikinase",R00206,
ec:4.3.1.13,carbamoyl-serine ammonia-lyase,R00213,
ec:1.1.2.3,L-lactate dehydrogenase (cytochrome),R00196,
ec:1.2.1.51,pyruvate dehydrogenase (NADP+),R00210,
ec:1.2.1.104,pyruvate dehydrogenase system,R00209,
ec:1.1.2.5,D-lactate dehydrogenase (cytochrome c-553),R00198,
ec:1.2.3.6,pyruvate oxidase (CoA-acetylating),R00211,
ec:1.1.1.102,3-dehydrosphinganine reductase,R02978,
ec:6.3.1.8,glutathionylspermidine synthase,R01917,
ec:2.5.1.79,thermospermine synthase,R09531,
ec:1.5.3.16,spermine oxidase,R09076,
ec:2.3.1.248,spermidine disinapoyl transferase,R11199,
ec:3.5.1.78,glutathionylspermidine amidase,R01918,
ec:2.5.1.45,homospermidine synthase (spermidine-specific),R01919,
ec:2.5.1.22,spermine synthase,R02869,
ec:1.5.3.14,"polyamine oxidase (propane-1,3-diamine-forming)",R01914,
ec:3.5.1.48,acetylspermidine deacetylase,R07300,
ec:3.4.13.23,cysteinylglycine-S-conjugate dipeptidase,R12514,
ec:3.7.1.23,maleylpyruvate hydrolase,R11257,
ec:4.2.1.31,maleate hydratase,R02419,
ec:3.5.1.107,maleamate amidohydrolase,R03540,
ec:2.7.3.1,guanidinoacetate kinase,R02575,
ec:3.9.1.1,phosphoamidase,R01882,
ec:2.7.3.2,creatine kinase,R01881,
ec:1.14.99.38,cholesterol 25-monooxygenase,R07218,
ec:1.14.14.25,cholesterol 24-hydroxylase,R07207,
ec:3.2.1.104,steryl-beta-glucosidase,R01460,
ec:3.4.13.12,Met-Xaa dipeptidase,R00657,
ec:2.8.1.6,biotin synthase,R01078,
ec:2.1.1.3,thetin---homocysteine S-methyltransferase,R04153,
ec:5.1.1.2,methionine racemase,R00655,
ec:4.1.1.57,methionine decarboxylase,R00656,
ec:1.97.1.4,[formate-C-acetyltransferase]-activating enzyme,R04710,
ec:4.1.99.17,phosphomethylpyrimidine synthase,R03472,
ec:3.2.2.5,NAD+ glycohydrolase,R00102,
ec:2.4.2.30,NAD+ ADP-ribosyltransferase,R04176,
ec:2.4.2.36,NAD+---diphthamide ADP-ribosyltransferase,R04074,
ec:2.4.2.12,nicotinamide phosphoribosyltransferase,R01271,
ec:2.4.2.37,NAD+---dinitrogen-reductase ADP-D-ribosyltransferase,R03447,
ec:2.4.2.60,cysteine-dependent adenosine diphosphate thiazole synthase,R10685,
ec:2.3.1.313,NAD-dependent lipoamidase,R13186,
ec:2.4.2.31,NAD+---protein-arginine ADP-ribosyltransferase,R00555,
ec:3.2.2.14,NMN nucleosidase,R01270,
ec:2.4.2.59,sulfide-dependent adenosine diphosphate thiazole synthase,R12026,
ec:7.1.2.2,H+-transporting two-sector ATPase,R00086,
ec:6.3.4.16,carbamoyl-phosphate synthase (ammonia),R00149,
ec:3.1.3.17,[phosphorylase] phosphatase,R00077,
ec:3.6.1.1,inorganic diphosphatase,R00004,
ec:3.6.1.25,triphosphatase,R00138,
ec:3.1.3.16,protein-serine/threonine phosphatase,R00164,
ec:1.4.2.1,glycine dehydrogenase (cytochrome),R00364,
ec:1.5.1.22,strombine dehydrogenase,R00368,
ec:4.1.3.14,L-erythro-3-hydroxyaspartate aldolase,R00478,
ec:2.3.1.29,glycine C-acetyltransferase,R00371,
ec:2.6.1.35,glycine---oxaloacetate transaminase,R00373,
ec:2.3.1.13,glycine N-acyltransferase,R00395,
ec:1.17.99.10,steroid C-25 hydroxylase,R12677,
ec:6.3.1.2,glutamine synthetase,R00253,
ec:2.3.1.1,amino-acid N-acetyltransferase,R00259,
ec:5.1.1.3,glutamate racemase,R00260,
ec:5.4.99.1,methylaspartate mutase,R00262,
ec:2.7.2.11,glutamate 5-kinase,R00239,
ec:3.1.2.33,betainyl-CoA thioesterase,R13307,
ec:1.21.4.4,betaine reductase,R07228,
ec:1.13.11.90,[1-hydroxy-2-(trimethylamino)ethyl]phosphonate dioxygenase (glycine-betaine-forming),R12614,
ec:1.4.99.2,taurine dehydrogenase,R07167,
ec:4.1.1.122,L-cysteate decarboxylase,R01682,L-Cysteate <=> Taurine + CO2
ec:2.6.1.77,taurine---pyruvate aminotransferase,R05652,
ec:1.5.1.23,tauropine dehydrogenase,R01683,
ec:1.14.11.17,taurine dioxygenase,R05320,
ec:2.4.2.44,S-methyl-5'-thioinosine phosphorylase,R09668,
ec:3.2.2.26,futalosine hydrolase,R08587,
ec:3.2.2.12,inosinate nucleosidase,R01128,
ec:2.3.1.33,histidine N-acetyltransferase,R01160,
ec:1.14.99.52,L-cysteinyl-L-histidinylsulfoxide synthase,R11015,
ec:6.1.1.21,histidine---tRNA ligase,R03655,
ec:2.6.1.38,histidine transaminase,R01161,
ec:4.1.1.22,histidine decarboxylase,R01167,
ec:5.1.1.24,histidine racemase,R12313,
ec:1.13.11.19,cysteamine dioxygenase,R02467,
ec:3.1.2.11,acetoacetyl-CoA hydrolase,R01358,
ec:1.1.1.30,3-hydroxybutyrate dehydrogenase,R01361,
ec:2.3.1.318,3-oxoadipate:acetyl-CoA acetyltransferase,R13360,
ec:6.4.1.6,acetone carboxylase,R05735,
ec:1.1.99.24,hydroxyacid-oxoacid transhydrogenase,R03225,
ec:2.3.1.247,(5S)-5-amino-3-oxohexanoate:acetyl-CoA ethylamine transferase,R10564,
ec:6.2.1.16,acetoacetate---CoA ligase,R01357,
ec:2.3.1.319,"3,5-dioxohexanoate:acetyl-CoA acetone transferase",R13361,
ec:1.8.1.5,2-oxopropyl-CoM reductase (carboxylating),R05713,
