enzyme_id,metabolite,p_value,q_value,log2_fc,significant_fdr
ec:2.6.1.1,phenylpyruvate,0.34555089058373056,0.9729850399805074,,False
ec:2.6.1.1,4-hydroxyphenylpyruvate,0.032616429451231124,0.9423400569916458,,False
ec:2.6.1.1,glutamate,0.9859106622290967,1.0,,False
ec:2.6.1.1,tyrosine,0.029848729288056455,0.9423400569916458,,False
ec:2.3.1.65,glycocholate,0.014102555152055654,0.9423400569916458,,False
ec:2.3.1.65,taurine,0.6588640171930575,0.9729850399805074,,False
ec:2.3.1.65,glycochenodeoxycholate,0.7372280362323936,0.9939631020933176,,False
ec:2.3.1.65,taurochenodeoxycholate,0.8459784709177165,0.9999454876780615,,False
ec:2.3.1.65,taurocholate,0.15112056859688924,0.9423400569916458,,False
ec:1.4.3.2,phenylpyruvate,0.34555089058373056,0.9729850399805074,,False
ec:1.4.3.2,4-hydroxyphenylpyruvate,0.032616429451231124,0.9423400569916458,,False
ec:1.4.3.2,tryptophan,0.5135026227093413,0.9729850399805074,,False
ec:1.4.3.2,tyrosine,0.029848729288056455,0.9423400569916458,,False
ec:1.4.3.2,methionine,0.5840779889608221,0.9729850399805074,2.236412827900557,False
ec:4.1.1.15,taurine,0.6588640171930575,0.9729850399805074,,False
ec:4.1.1.15,cysteine sulfinic acid,0.4015019525178116,0.9729850399805074,,False
ec:4.1.1.15,beta-alanine,0.9859106622290967,1.0,-1.3887251682793467,False
ec:4.1.1.15,hypotaurine,0.5840779889608221,0.9729850399805074,,False
ec:4.1.1.15,glutamate,0.9859106622290967,1.0,,False
ec:1.17.3.2,adenine,0.49100447494643173,0.9729850399805074,-2.8420655952070564,False
ec:1.17.3.2,xanthine,0.3868714529706392,0.9729850399805074,,False
ec:1.17.3.2,urate,0.49100447494643173,0.9729850399805074,,False
ec:1.17.3.2,hydantoin-5-propionate,0.10805549890244624,0.9423400569916458,,False
ec:1.17.3.2,hypoxanthine,0.08041743822049663,0.9423400569916458,,False
ec:3.1.6.2,cholesterol,0.6085675623751094,0.9729850399805074,0.2934740349541622,False
ec:3.1.6.2,epiandrosterone sulfate,0.6716751436794706,0.9729850399805074,2.4782232116179657,False
ec:3.1.6.2,cholesterol sulfate,0.28138363382400566,0.9525911058693082,,False
ec:3.1.6.2,androsterone sulfate,0.873721222743655,0.9999454876780615,-1.606219331500503,False
ec:3.1.6.2,pregnenolone sulfate,0.8183794434319569,0.9999454876780615,,False
ec:2.8.2.2,cholesterol,0.6085675623751094,0.9729850399805074,0.2934740349541622,False
ec:2.8.2.2,epiandrosterone sulfate,0.6716751436794706,0.9729850399805074,2.4782232116179657,False
ec:2.8.2.2,cholesterol sulfate,0.28138363382400566,0.9525911058693082,,False
ec:2.8.2.2,androsterone sulfate,0.873721222743655,0.9999454876780615,-1.606219331500503,False
ec:2.8.2.2,pregnenolone sulfate,0.8183794434319569,0.9999454876780615,,False
ec:2.4.2.2,uracil,0.6587817369505,0.9729850399805074,,False
ec:2.4.2.2,cytidine,0.12309200453276387,0.9423400569916458,,False
ec:2.4.2.2,cytosine,1.0,1.0,-1.5482309358895365,False
ec:2.4.2.2,uridine,0.20991137719550346,0.9423400569916458,-1.735602315307165,False
ec:2.4.2.2,2'-deoxyuridine,0.3314185132368468,0.9729850399805074,,False
ec:2.3.1.14,phenylacetylglutamate,0.8447903942153179,0.9999454876780615,-1.2781988907055482,False
ec:2.3.1.14,N-acetylglutamine,0.5840779889608221,0.9729850399805074,-7.088038895519362,False
ec:2.3.1.14,N-acetylglutamate,0.014102555152055654,0.9423400569916458,,False
ec:2.3.1.14,phenylacetylglutamine,0.5600573181736357,0.9729850399805074,,False
ec:2.1.4.1,glycine,0.26590823627628724,0.9525911058693082,,False
ec:2.1.4.1,guanidinoacetate,0.42680677904352826,0.9729850399805074,,False
ec:2.1.4.1,4-guanidinobutanoate,0.0034006738872769046,0.9423400569916458,,False
ec:2.1.4.1,taurine,0.6588640171930575,0.9729850399805074,,False
ec:6.3.2.11,3-methylhistidine,0.0055626222168733185,0.9423400569916458,,False
ec:6.3.2.11,imidazole propionate,0.10928272624589802,0.9423400569916458,-3.1482324720746284,False
ec:6.3.2.11,beta-alanine,0.9859106622290967,1.0,-1.3887251682793467,False
ec:6.3.2.11,1-methylhistidine,0.8970354313031557,0.9999454876780615,-0.34485586755479475,False
ec:3.4.13.20,3-methylhistidine,0.0055626222168733185,0.9423400569916458,,False
ec:3.4.13.20,imidazole propionate,0.10928272624589802,0.9423400569916458,-3.1482324720746284,False
ec:3.4.13.20,beta-alanine,0.9859106622290967,1.0,-1.3887251682793467,False
ec:3.4.13.20,1-methylhistidine,0.8970354313031557,0.9999454876780615,-0.34485586755479475,False
ec:2.5.1.48,cystathionine,0.4674379683628327,0.9729850399805074,,False
ec:2.5.1.48,O-acetylhomoserine,0.15770464459464628,0.9423400569916458,,False
ec:2.5.1.48,succinate,0.34930302389973467,0.9729850399805074,,False
ec:2.5.1.48,alpha-ketobutyrate,0.0926807336494259,0.9423400569916458,,False
ec:3.1.3.6,cytidine,0.12309200453276387,0.9423400569916458,,False
ec:3.1.3.6,guanosine,0.36778854364654867,0.9729850399805074,,False
ec:3.1.3.6,adenosine,0.2367409760450062,0.9423400569916458,,False
ec:3.1.3.6,uridine,0.20991137719550346,0.9423400569916458,-1.735602315307165,False
ec:2.1.1.162,glycine,0.26590823627628724,0.9525911058693082,,False
ec:2.1.1.162,dimethylglycine,0.3868714529706392,0.9729850399805074,,False
ec:2.1.1.162,betaine,0.6335040697673531,0.9729850399805074,,False
ec:2.1.1.162,sarcosine,0.23671080601546113,0.9423400569916458,-2.5928112692266647,False
