metabolite,median_high,median_low,log2_fc,wilcoxon_stat,p_value,q_value,significant_fdr
"bilirubin degradation product, C16H18N2O5 (3)**",0.19261860847473145,-0.01683816872537136,,167.5,0.19125648697657704,0.9423400569916458,False
5-hydroxymethyl-2-furoic acid,-0.2853996157646179,-0.19352807104587555,0.5604405497788368,93.5,0.19513567650734387,0.9423400569916458,False
3-hydroxyoleoylcarnitine,-0.04416809231042862,0.28857719898223877,,93.0,0.19723832400087582,0.9423400569916458,False
3-(4-hydroxyphenyl)lactate,-0.13972772657871246,0.11252999305725098,,93.0,0.1973536835561095,0.9423400569916458,False
allantoin,-0.04740788787603378,0.19285738468170166,,93.0,0.1973536835561095,0.9423400569916458,False
2-arachidonoyl-GPI (20:4)*,-0.04638083651661873,0.09724044799804688,,93.0,0.1973536835561095,0.9423400569916458,False
1-(1-enyl-stearoyl)-GPE (P-18:0)*,-0.07174497842788696,0.12005157023668289,,93.0,0.1973536835561095,0.9423400569916458,False
pyridoxate,-0.06828192621469498,0.36862099170684814,,93.0,0.1973536835561095,0.9423400569916458,False
2-linoleoyl-GPC (18:2)*,-0.060770433396101,0.08094825595617294,,93.0,0.1973536835561095,0.9423400569916458,False
ethylmalonate,-0.03824878856539726,0.25388267636299133,,93.0,0.1973536835561095,0.9423400569916458,False
1-oleyl-GPC (O-18:1)*,0.09990313649177551,-0.09238706529140472,,167.0,0.1973536835561095,0.9423400569916458,False
3-hydroxyhexanoylcarnitine (1),-0.32444971799850464,0.39614370465278625,,94.0,0.20637194655454494,0.9423400569916458,False
formiminoglutamate,-0.08147899806499481,0.26052597165107727,,94.0,0.20932417727128938,0.9423400569916458,False
behenoyl dihydrosphingomyelin (d18:0/22:0)*,-0.061985038220882416,0.25085321068763733,,94.0,0.20991137719550346,0.9423400569916458,False
16-hydroxypalmitate,-0.0848553329706192,0.24854764342308044,,94.0,0.20991137719550346,0.9423400569916458,False
