metabolite,p_value,q_value,log2_fc,median_high,median_low
"ceramide (d18:2/24:1, d18:1/24:2)*",0.1629906802005133,0.9423400569916458,,0.068617433309555,-0.0007759816944599
"bilirubin degradation product, C17H20N2O5 (1)**",0.1629906802005133,0.9423400569916458,,0.1867123991250991,-0.3550147712230682
1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*,0.1629906802005133,0.9423400569916458,,0.2047891020774841,-0.1916977912187576
"sphingomyelin (d18:2/16:0, d18:1/16:1)*",0.1629906802005133,0.9423400569916458,,0.0572814345359802,-0.0105073284357786
eicosapentaenoylcholine,0.1705657556151179,0.9423400569916458,,-0.4284144043922424,0.0632502809166908
valylleucine,0.1713060562580904,0.9423400569916458,-1.0969755575551596,-0.4398271739482879,-0.940815806388855
homovanillate (HVA),0.172988096921999,0.9423400569916458,4.86069917009547,-0.7330893874168396,-0.0252313613891601
"bilirubin degradation product, C16H18N2O5 (1)**",0.1737935325007273,0.9423400569916458,,0.108716681599617,-0.3455458581447601
oxalate (ethanedioate),0.173904342898714,0.9423400569916458,,-0.0212817825376987,0.3297137022018432
3-ureidopropionate,0.173904342898714,0.9423400569916458,,-0.0064299777150154,0.1357740759849548
N-acetylserine,0.173904342898714,0.9423400569916458,,-0.0236776582896709,0.1062226891517639
"bilirubin degradation product, C17H20N2O5 (2)**",0.173904342898714,0.9423400569916458,,0.1725162267684936,-0.368622362613678
isovalerylcarnitine (C5),0.173904342898714,0.9423400569916458,,-0.029363365843892,0.2007358968257904
"N6,N6,N6-trimethyllysine",0.173904342898714,0.9423400569916458,,-0.0787911266088485,0.1682940423488617
2-hydroxymyristate,0.173904342898714,0.9423400569916458,,-0.0596297346055507,0.1546650826930999
isobutyrylcarnitine (C4),0.173904342898714,0.9423400569916458,,-0.0910580158233642,0.3576711416244507
N-methyltaurine,0.1741364220657308,0.9423400569916458,1.0961518205514482,-0.8016360998153687,-0.374975323677063
acisoga,0.179281667018973,0.9423400569916458,,0.1051893457770347,-0.1997768282890319
pimeloylcarnitine/3-methyladipoylcarnitine (C7-DC),0.1808133719423006,0.9423400569916458,-2.7628612777001447,-0.1904825866222381,-1.2928835153579712
N2-methylguanosine,0.1839748749637713,0.9423400569916458,-2.167736740282596,-0.1179722175002098,-0.5300703644752502
gentisate,0.1852416931482645,0.9423400569916458,,-0.2926928400993347,0.2293975353240966
tryptophan betaine,0.1853265762271227,0.9423400569916458,,-0.0970326215028762,0.4365789294242859
1-(1-enyl-stearoyl)-2-docosahexaenoyl-GPE (P-18:0/22:6)*,0.1853548660507243,0.9423400569916458,,-0.0468601919710636,0.0417822487652301
orotate,0.1853548660507243,0.9423400569916458,,-1.1816737242043018e-06,0.2176508009433746
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,0.1853548660507243,0.9423400569916458,,-0.0546923838555812,0.1847480088472366
erucate (22:1n9),0.1853548660507243,0.9423400569916458,,-0.0583015717566013,0.2198171913623809
fibrinopeptide A (7-16)*,0.1853548660507243,0.9423400569916458,,-0.0027832742780447,0.1114557087421417
N1-methyl-4-pyridone-3-carboxamide,0.1853548660507243,0.9423400569916458,,-0.0146261854097247,0.2719230353832245
"N1,N12-diacetylspermine",0.1909496829807065,0.9423400569916458,-2.3297630997381917,-0.0958409905433654,-0.4818145036697387
"bilirubin degradation product, C16H18N2O5 (3)**",0.191256486976577,0.9423400569916458,,0.1926186084747314,-0.0168381687253713
5-hydroxymethyl-2-furoic acid,0.1951356765073438,0.9423400569916458,0.5604405497788368,-0.2853996157646179,-0.1935280710458755
3-hydroxyoleoylcarnitine,0.1972383240008758,0.9423400569916458,,-0.0441680923104286,0.2885771989822387
1-(1-enyl-stearoyl)-GPE (P-18:0)*,0.1973536835561095,0.9423400569916458,,-0.0717449784278869,0.1200515702366828
3-(4-hydroxyphenyl)lactate,0.1973536835561095,0.9423400569916458,,-0.1397277265787124,0.1125299930572509
allantoin,0.1973536835561095,0.9423400569916458,,-0.0474078878760337,0.1928573846817016
1-oleyl-GPC (O-18:1)*,0.1973536835561095,0.9423400569916458,,0.0999031364917755,-0.0923870652914047
ethylmalonate,0.1973536835561095,0.9423400569916458,,-0.0382487885653972,0.2538826763629913
2-linoleoyl-GPC (18:2)*,0.1973536835561095,0.9423400569916458,,-0.060770433396101,0.0809482559561729
pyridoxate,0.1973536835561095,0.9423400569916458,,-0.0682819262146949,0.3686209917068481
2-arachidonoyl-GPI (20:4)*,0.1973536835561095,0.9423400569916458,,-0.0463808365166187,0.0972404479980468
3-hydroxyhexanoylcarnitine (1),0.2063719465545449,0.9423400569916458,,-0.3244497179985046,0.3961437046527862
formiminoglutamate,0.2093241772712893,0.9423400569916458,,-0.0814789980649948,0.2605259716510772
citrate,0.2099113771955034,0.9423400569916458,,-0.0169148705899715,0.1068195849657058
behenoyl dihydrosphingomyelin (d18:0/22:0)*,0.2099113771955034,0.9423400569916458,,-0.0619850382208824,0.2508532106876373
16-hydroxypalmitate,0.2099113771955034,0.9423400569916458,,-0.0848553329706192,0.2485476434230804
1-docosahexaenoyl-GPE (22:6)*,0.2099113771955034,0.9423400569916458,,-0.0847063660621643,0.1192552149295806
1-docosahexaenoylglycerol (22:6),0.2099113771955034,0.9423400569916458,,-0.0991403013467788,0.1052185595035553
uridine,0.2099113771955034,0.9423400569916458,-1.735602315307165,-0.0724637135863304,-0.2413175702095031
fumarate,0.2099113771955034,0.9423400569916458,,-0.0362822189927101,0.0520395226776599
tiglylcarnitine (C5:1-DC),0.2099113771955034,0.9423400569916458,,-0.0881456285715103,0.1063959896564483
pentose acid*,0.2099113771955034,0.9423400569916458,,-0.0406407974660396,0.6440438628196716
N-acetylkynurenine (2),0.2139096823416608,0.9423400569916458,-2.348730897652416,-0.0811918973922729,-0.4135720133781433
11-ketoetiocholanolone glucuronide,0.2144009636974185,0.9423400569916458,,-0.7876150608062744,0.0525245033204555
1-palmitoyl-2-gamma-linolenoyl-GPC (16:0/18:3n6)*,0.2158590784137654,0.9423400569916458,2.092196177160372,-0.2568329870700836,-0.0602333471179008
1-oleoyl-GPA (18:1),0.2161070889931955,0.9423400569916458,,0.0610213242471218,-0.1412992775440216
heneicosapentaenoate (21:5n3),0.2184449107071636,0.9423400569916458,0.0,-0.9979419708251952,-0.9979419708251952
vanillic alcohol sulfate,0.2193488907579438,0.9423400569916458,4.736498724564235,-1.2777976989746094,-0.0479329228401184
nisinate (24:6n3),0.2193488907579438,0.9423400569916458,,-0.6832888126373291,0.0170248597860336
